Macalister_Domari_1914,19356,22683,Părdṓsis má͡umŭs-pitr u násră minjī́. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,22683,24718,"Răsrṓsis bo͡iŭs, nī-mindṓsis,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,24718,29039,ắmmă tírdōm wī zerd barōm-dḗriătă bo͡iúska,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,29039,30168,"nắndēn dī káli,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,30168,31177,u mărdḗnsăn,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,31177,33348,năndḗnsăn sal u ḳēš,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,33348,37004,u ḳắră bó͡iŭs i dà͡iŭs u bárŭs,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,37004,38348,"u ibsúṭre,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,38348,40208,tă-'ád inheʔ kiyák.,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,40208,41970,"Mī́ndă ḥálos láci u zárō ílli pădṓsis, gārī́re. ",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
Macalister_Domari_1914,41970,44584,"Imcírdă má͡umŭs-siri u mámyisk ʕăstṓsis síriŭs, u wḗsre ŭnkī́săn panj u bá͡iŭs. ",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,0,1316,My brother came to me.,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,1316,3903,(who I am marrying off),C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,3903,5945,He wants me to marry him to his uncle's daughter. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,5945,7830,We asked the girl from him. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,7830,8745,"""bring the money"" (he said)",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,8745,10652,we paid twenty pounds. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,10652,13261,He did not wish to give her. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,13261,17822,he wanted from us thirty pounds,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,17822,19356,but we didn't have the money,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,19356,22683,Her uncle's son took her and ran off with her.,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,22683,24718,Her father followed him and did not catch him,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,24718,29039,"but I offered twenty pounds in the place of my brother to her father, ",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,29039,30168,and we bought two goats,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,30168,31177,"and slaughtered them,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,31177,33348,"and set rice and meat,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,33348,37004,and her father and mother and brother ate,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,37004,38348,"and were satisfied,",C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,38348,40208,until nothing more was left.,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,40208,41970,The girl and the boy who took her (betook themselves and) returned. ,C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
English,41970,44584,he kissed his wife's head and remained with them (old Domari: he kissed his uncle's head and wife's mother's hand and remained with them),C:/Users/finna/OneDrive - Yale University/Documents/Domari/marriage dowry/Transcriptions\marriage_ELAN.eaf
